Title,Title_URL,Image,Date
"Warga Ghana Turun ke Jalan 2 Hari, Protes atas Kenaikan Biaya Hidup",https://www.idntimes.com/news/world/pri-145/warga-ghana-turun-ke-jalan-2-hari-protes-atas-kenaikan-biaya-hidup-c1c2,https://cdn.idntimes.com/content-images/community/2021/09/chris-slupski-lehpd4jq-cu-unsplash-2d588b538864a3b2a1a0b557d321694d-b380ce7f6083a2742ed619fd50d2abb1_300x200.jpg,"
                    
                    30 Jun 22 | 11:04
                "
Pimpinan Banggar DPR Jatuh Usai Serahkan Berkas Laporan ke Puan,https://www.idntimes.com/news/indonesia/muhammad-ilman-nafian-2/pimpinan-banggar-dpr-jatuh-usai-serahkan-berkas-laporan-ke-puan,https://cdn.idntimes.com/content-images/post/20220630/whatsapp-image-2022-06-30-at-104106-am-31e6ae99bfe461bc0130cfa454a1bda1_300x200.jpg,"
                    
                    30 Jun 22 | 10:56
                "
"Xi Jinping Kunjungi Hong Kong, Sejumlah Tempat di Pusat Kota Ditutup",https://www.idntimes.com/news/world/sonya-michaella/xi-jinping-kunjungi-hong-kong-sejumlah-tempat-di-pusat-kota-ditutup,,"
                    
                    30 Jun 22 | 10:55
                "
Menkes Segera Terbitkan Regulasi Riset Ganja untuk Medis,https://www.idntimes.com/news/indonesia/dini-suciatiningrum/menkes-segera-terbitkanregulasi-riset-ganja-untuk-medis,https://cdn.idntimes.com/content-images/post/20200829/antarafoto-temuan-ladang-ganja-di-kabupaten-bandung-1200720-na-5-dfe9b499b3c7e7046d087b759ac82275_300x200.jpg,"
                    
                    30 Jun 22 | 10:50
                "
"Kasus Pemalsuan Surat, Pengacara Alvin Lim Dituntut 6 Tahun Penjara",https://www.idntimes.com/news/indonesia/sandy-firdaus/kasus-pemalsuan-surat-pengacara-alvin-lim-dituntut-6-tahun-penjara,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 10:22
                "
"Pemerintah Buka 1 Juta Lowongan ASN 2022, Ini Rinciannya",https://www.idntimes.com/news/indonesia/trio-hamdani/pemerintah-buka-1-juta-lowongan-asn-2022-ini-rinciannya,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 10:15
                "
"Hadapi Ancaman Rusia, Biden Akan Tambah Pasukan AS di Eropa ",https://www.idntimes.com/news/indonesia/syahreza-zanskie/hadapi-ancaman-rusia-biden-tambah-pasukan-as-eropa-c1c2,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 10:15
                "
"Pengeroyokan di SMAN 70 Jakarta, Senioritas Diduga Jadi Alasan",https://www.idntimes.com/news/indonesia/sandy-firdaus/pengeroyokan-di-sman-70-jakarta-senioritas-diduga-jadi-alasan,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 09:56
                "
Oesman Sapta Odang dan Rombongan Partai Hanura Datangi KPK Hari Ini,https://www.idntimes.com/news/indonesia/gregorius-pranandito/oesman-sapta-odang-dan-rombongan-partai-hanura-datangi-kpk-hari-ini,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 09:50
                "
"Percepat MPP, BPJS Ketenagakerjaan Dukung Arahan Wapres  ",https://www.idntimes.com/news/indonesia/ezri-tri-suro-1/bpjamsostek-percepat-mpp-csc,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 09:35
                "
Biden Tingkatkan Kehadiran Militer AS di Eropa,https://www.idntimes.com/news/world/pri-145/biden-tingkatkan-kehadiran-militer-as-di-eropa-c1c2,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 08:54
                "
"Curhat ke Jokowi, Zelenskyy: Rusia Memeras Dunia dengan Kelaparan",https://www.idntimes.com/news/world/sonya-michaella/curhat-ke-jokowi-zelenskyy-rusia-memeras-dunia-dengan-kelaparan,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 08:40
                "
"Cegah Persoalan saat Pemilu 2024, Penyelesaian Peta Batas Desa Dikebut",https://www.idntimes.com/news/indonesia/yosafat-diva-bagus/cegah-persoalan-saat-pemilu-2024-penyelesaian-peta-batas-desa-dikebut,https://cdn.idntimes.com/content-images/post/20191118/antarafoto-23desa-fiktifkendari-07112019-jjn-cc76b8d5d1d6bcde0944b481ba61d251_300x200.jpg,"
                    
                    30 Jun 22 | 08:17
                "
"Jokowi Terbang ke Rusia via Polandia, Bawa Pesan dari Presiden Ukraina",https://www.idntimes.com/news/world/muhammad-ilman-nafian-2/jokowi-terbang-ke-rusia-via-polandia-bawa-pesan-dari-presiden-ukraina,https://cdn.idntimes.com/content-images/post/20220629/whatsapp-image-2022-06-29-at-80431-pm-1-6dd59e2811d49e8028397818506beaa9_300x200.jpg,"
                    
                    30 Jun 22 | 08:15
                "
Indonesia Minta Malaysia Perbaiki Kondisi Detensi Imigrasi ,https://www.idntimes.com/news/world/sonya-michaella/indonesia-minta-malaysia-perbaiki-kondisi-detensi-imigrasi,https://cdn.idntimes.com/content-images/post/20201121/tki-01-74c561487fff0152ea6ec10a8d9c6862_300x200.jpg,"
                    
                    30 Jun 22 | 08:05
                "
"[UPDATE] Kasus COVID-19 Dunia Tembus 551 Juta, Ini 10 Negara Tertinggi",https://www.idntimes.com/news/world/sandy-firdaus/update-kasus-covid-19-dunia-tembus-551-juta-ini-10-negara-tertinggi,https://cdn.idntimes.com/content-images/post/20210715/whatsapp-image-2021-07-14-at-105329-am-4c4bf6762bdef53bf10e37cb0eb56683_300x200.jpeg,"
                    
                    30 Jun 22 | 07:57
                "
Alasan Kemenag Tak Ambil Jatah Tambahan Kuota Haji 10 Ribu,https://www.idntimes.com/news/indonesia/muhammad-ilman-nafian-2/alasan-kemenag-tak-ambil-jatah-tambahan-kuota-haji-10-ribu,https://cdn.idntimes.com/content-images/post/20220603/whatsapp-image-2022-06-03-at-95952-am-1-3e9ac2e2c1df1ae1d0777601de0c0d51_300x200.jpg,"
                    
                    30 Jun 22 | 07:55
                "
Zelenskyy Titip Pesan Perdamaian untuk Putin lewat Jokowi,https://www.idntimes.com/news/world/muhammad-ilman-nafian-2/zelenskyy-titip-pesan-untuk-putin-lewat-jokowi-tentang-perdamaian,,"
                    
                    30 Jun 22 | 07:47
                "
DPRD DKI Kecewa Panggil Holywings sebab yang Datang Bukan Pemiliknya ,https://www.idntimes.com/news/indonesia/uji-sukma-medianti-1/dprd-dki-kecewa-panggil-holywings-sebab-yang-datang-bukan-pemiliknya,https://cdn.idntimes.com/content-images/community/2021/07/160878081115fe40c0b498fa-b3a1b0f1f7370c4297b4467dcf051830-4c222be03a1fb013a7e867def8b5e253_300x200.png,"
                    
                    30 Jun 22 | 07:45
                "
Cuaca Hari Ini 30 Juni 2022: Pekanbaru Cerah Berawan Siang dan Sore Hari,https://www.idntimes.com/news/indonesia/timmy-si-robot/cuaca-hari-ini-30-juni-2022-pekanbaru-cerah-berawan-siang-dan-sore-hari,https://cdn.idntimes.com/content-images/community/2022/06/temp-weather-thumbnail-eb671b3126abcf7506cc2dab44902b32_300x200.png,"
                    
                    30 Jun 22 | 07:15
                "
"Prakiraan Cuaca Hari Ini 30 Juni 2022, Sebagian Bekasi Bakal Berawan Sepanjang Hari",https://www.idntimes.com/news/indonesia/timmy-si-robot/prakiraan-cuaca-hari-ini-30-juni-2022-sebagian-bekasi-bakal-berawan-sepanjang-hari,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 06:45
                "
Cuaca Hari Ini 30 Juni 2022: Jakarta Cerah Sepanjang Hari,https://www.idntimes.com/news/indonesia/timmy-si-robot/cuaca-hari-ini-30-juni-2022-jakarta-cerah-sepanjang-hari-1,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 06:15
                "
